,title,title_pl,imdb_title,year,rating,votes,countries,imdb_id
17,For Sama,Dla Samy,For Sama,2019,8.5,11989,"United Kingdom, Syria, United States",9617456
25,"Film, the Living Record of Our Memory","Film, żywy zapis naszej pamięci","Film, the Living Record of our Memory",2021,8.4,33,"Spain, Canada",15439196
79,Courage,Odwaga,Courage the Cowardly Dog,1999,8.3,46696,United States,0220880
47,The Mole: Undercover in North Korea,Kret w Korei,The Mole: Undercover in North Korea,2020,8.3,4768,"Norway, Denmark, United Kingdom, Sweden",13243898
129,Singing in the Wilderness,Zdradzone pieśni,Singing in the Wilderness,2021,8.3,9,"China, United States",12032062
96,The Act of Killing,Scena zbrodni,The Act of Killing,2012,8.2,38962,"United Kingdom, Denmark, Norway",2375605
76,Infinity According to Florian,Nieskończoność według Floriana,Infinity: According to Florian,2022,8.2,20,Ukraine,16977490
87,Underground Women’s State,Podziemne państwo kobiet,Underground Women,2002,8.2,22,United States,0443780
119,Vienna Symphony - Inside the Wiener Symphoniker,Wiedeńscy Symfonicy,Wired for Music- Inside the Wiener Symphoniker,2020,8.2,8,Austria,13523262
118,Faith,Wiara,Shinui,2012,8.0,2732,South Korea,2373094
63,Mission: Joy - Finding Happiness in Troubled Times,Misja: szczęście,Mission: Joy - Finding Happiness in Troubled Times,2021,8.0,271,United States,14779306
46,Honeyland,Kraina miodu,Honeyland,2019,8.0,18338,North Macedonia,8991268
42,Minding the Gap,Jutro albo pojutrze,Minding the Gap,2018,8.0,9901,United States,7476236
117,Waltz with Bashir,Walc z Baszirem,Waltz with Bashir,2008,8.0,58573,"Israel, France, Germany, United States, Finland, Switzerland, Belgium, Australia",1185616
92,Flee,Przeżyć,Flee,2021,7.9,17548,"Denmark, France, Norway, Sweden, Netherlands, United Kingdom, United States, Finland, Italy, Spain, Estonia, Slovenia",8430054
71,Seeds of Deceit,Nasienie kłamstwa,Seeds of Deceit,2021,7.9,121,Netherlands,13776816
59,Mariupolis,Mariupol,Mariupolis 2,2022,7.9,92,"Lithuania, France, Germany",20221546
65,Young Plato,Młody Platon,Young Plato,2021,7.9,248,"Ireland, Belgium, France",14683452
73,I Am Not Your Negro,Nie jestem twoim murzynem,I Am Not Your Negro,2016,7.9,22435,"France, United States, Belgium, Switzerland",5804038
115,Varda by Agnès,Varda według Agnès,Varda by Agnès,2019,7.8,2322,France,9530198
18,The House by the Sea,Dom nad morzem,A House by the Sea,2000,7.8,18,United States,0186221
109,Faces Places,"Twarze, plaże",Faces Places,2017,7.8,12860,France,5598102
5,Babi Yar. Context,Babi Jar. Konteksty,Babi Yar. Context,2021,7.8,349,"Netherlands, Ukraine",9850492
21,By the Grace of God,Dzięki Bogu,British by the Grace of God,2017,7.8,16,"United Kingdom, United States",7111550
90,The Trial,Proces,The Trial of the Chicago 7,2020,7.7,180964,"United States, United Kingdom, India",1070874
12,Glory to the Queen,Chwała królowej,Glory to the Queen,2020,7.7,58,Georgia,8682060
22,Eastern,Eastern,Eastern Promises,2007,7.6,247494,"United Kingdom, Canada, United States",0765443
75,Loveless,Niemiłość,Loveless,2017,7.6,33890,"Russia, France, Germany, Belgium",6304162
3,Andrey Tarkovsky. A Cinema Prayer,Andriej Tarkowski. W świątyni kina,Andrey Tarkovsky. A Cinema Prayer,2019,7.6,822,"Italy, Russia, Sweden",10850518
68,"Leap of Faith: William Friedkin on ""The Exorcist""","Na wiarę. „Egzorcysta"" Williama Friedkina",Leap of Faith: William Friedkin on the Exorcist,2019,7.6,772,United States,10681070
38,Once Upon a Time in Poland,Jak Bóg szukał Karela,Once Upon a Time in Hollywood,2019,7.6,757759,"United States, United Kingdom, China",7131622
41,I Am Greta,Jestem Greta,I Am Greta,2020,7.5,8112,"Sweden, United States, Germany, United Kingdom",10394738
99,The Mole Agent,Śledztwo w domu spokojnej starości,The Mole Agent,2020,7.5,8911,"Chile, United States, Germany, Netherlands, Spain",11394298
50,Cold Case Hammarskjöld,Kto zabił sekretarza generalnego ONZ?,Cold Case Hammarskjöld,2019,7.5,2612,"Denmark, Norway, Sweden, Belgium, United Kingdom, Germany",9352780
32,The Distinguished Citizen,Honorowy obywatel,The Distinguished Citizen,2016,7.5,12489,"Argentina, Spain",4562518
100,Birds of Passage,Sny wędrownych ptaków,Birds of Passage,2018,7.5,12464,"Colombia, Denmark, Mexico, Germany, Switzerland, France",6386748
127,Zappa,Zappa,Zappa,2020,7.5,3210,"United States, United Kingdom",4881578
111,Escape to the Silver Globe,Ucieczka na srebrny glob,Escape to the Silver Globe,2021,7.5,118,Poland,15223788
54,A Gentle Creature,Łagodna,A Gentle Woman,1969,7.4,2856,France,0065152
88,Talking About Trees,Pogawędki o drzewach to zbrodnia,Talking About Trees,2019,7.4,796,"France, Sudan, Chad, Germany, Qatar, United Arab Emirates",9658178
8,Mike Wallace is Here,Bezlitosny Mike Wallace,Mike Wallace Is Here,2019,7.4,896,United States,9353436
91,Project Nim,Projekt Nim,Project Nim,2011,7.4,8493,"United Kingdom, United States",1814836
6,Bellingcat: Truth in a Post-Truth World,Bellingcat: Prawda w czasach postprawdy,Bellingcat: Truth in a Post-Truth World,2018,7.3,724,Netherlands,7844518
60,California Typewriter,Maszyna do pisania,California Typewriter,2016,7.3,977,"France, India, Canada, United States",5966990
107,QT8: The First Eight,Tarantino: bękart kina,QT8: The First Eight,2019,7.3,4403,United States,4329810
126,Shut Up And Play The Piano,Zamknij się i graj na pianinie,Shut Up and Play the Piano,2018,7.3,282,"Germany, United Kingdom, France",7929406
125,Censored Voices,Zakazane głosy,Censored Voices,2015,7.3,310,"Israel, Germany",3457376
108,Three Minutes – A Lengthening,Trzy minuty zawieszone w czasie,Three Minutes: A Lengthening,2021,7.3,408,"Netherlands, United Kingdom",12017738
26,Forman vs. Forman,Forman vs. Forman,Forman vs. Forman,2019,7.3,270,Czechia,10299146
89,State Funeral,Pogrzeb Stalina,State Funeral,2019,7.2,1147,"Netherlands, Lithuania",10203842
130,Nothing but the Sun,Zostało nam słońce,Nothing But the Truth,2008,7.2,38781,United States,1073241
97,The Wall of Shadows,Ściana cieni,The Wall of Shadows,2020,7.2,127,"Poland, Germany, Switzerland",12364186
4,Anthropocene: The Human Epoch,Antropocen: epoka człowieka,Anthropocene: The Human Epoch,2018,7.2,1908,Canada,8399690
19,House Made of Splinters,Dom z drzazg,A House Made of Splinters,2022,7.2,661,"Denmark, Ukraine, Sweden, Germany, Finland",16377920
48,Cow,Krowa,Cow,2021,7.1,1883,United Kingdom,11548822
43,We Were Once Kids,Kiedyś byliśmy dzieciakami,The Kids,2021,7.1,248,Australia,14502642
2,Ayka,Ajka,Ayka,2018,7.1,1977,"Russia, Germany, Poland, China, France, Kazakhstan",8305116
120,The Venerable W.,Wielebny W.,The Venerable W.,2017,7.1,616,"Switzerland, France",6642870
27,Genesis 2.0,Genesis 2.0,Genesis 2.0,2018,7.1,542,"Switzerland, China, Russia, South Korea, United States",6862536
116,Love means zero,W tenisie love znaczy zero,Love Means Zero,2017,7.1,464,United States,7206654
102,Putin's Witnesses,Świadkowie Putina,Putin's Witnesses,2018,7.0,1377,"Latvia, Switzerland, Czechia, Russia, Germany, France",8647924
78,The New Corporation: The Unfortunately Necessary Sequel,Nowa korporacja,The New Corporation: The Unfortunately Necessary Sequel,2020,7.0,541,Canada,12575636
94,Safari,Safari,Safari,2016,7.0,1119,"Austria, France, Denmark, Germany",5901212
69,Ash Is Purest White,Najczystszy jest popiół,Ash Is Purest White,2018,7.0,9819,"China, France, Japan",7298400
1,Aalto,Aalto - z miłości do architektury,Aalto: Architect of Emotions,2020,7.0,633,Finland,9634036
53,"Lo and Behold, Reveries of the Connected World",Lo i stało się. Zaduma nad światem w sieci,Lo and Behold: Reveries of the Connected World,2016,7.0,13055,United States,5275828
14,Dolphin Man,Człowiek delfin,Dolphin Man,2017,7.0,329,"Greece, France, Canada, Japan, Italy, Switzerland, Sweden",7718144
62,McCurry: The Pursuit of Colour,McCurry. W pogoni za kolorem,McCurry: The Pursuit of Colour,2021,7.0,41,United Kingdom,11226218
24,MLK/FBI,FBI kontra Martin Luther King,MLK/FBI,2020,7.0,1605,United States,12801356
28,Gorbachev. Heaven,Gorbaczow. Raj,Gorbachev. Heaven,2020,7.0,332,"Latvia, Czechia",13400440
101,Stray,Stambuł bez smyczy,Stray,2020,6.9,1536,United States,11905922
124,Inside the Uffizi,Za drzwiami galerii Uffizi,In den Uffizien,2021,6.9,33,Germany,15583714
114,At Eternity's Gate,Van Gogh. U bram wieczności,At Eternity's Gate,2018,6.9,36591,"Ireland, Switzerland, United Kingdom, France, United States",6938828
66,Monos,Monos,Monos,2019,6.9,17774,"Colombia, Argentina, Netherlands, Germany, Sweden, Uruguay, United States, Switzerland, Denmark, France",6062774
81,Paris opera,Opera paryska,The Paris Opera,2017,6.9,260,"Switzerland, France",6599064
52,Summer of 85,Lato '85,Summer of 85,2020,6.9,10680,France,10457128
16,The Forum,Davos. Centrum świata,A Funny Thing Happened on the Way to the Forum,1966,6.8,9454,"United States, United Kingdom",0060438
23,Epicentro,Epicentrum,Epicentro,2020,6.8,270,"Austria, France",11393948
112,Shooting the Mafia,Ustrzelić mafię,Shooting the Mafia,2019,6.8,673,"United States, Ireland",9358256
45,Woman,Kobieta,The Woman King,2022,6.8,51129,United States,8093700
67,My Generation,My Generation,My Little Pony: A New Generation,2021,6.8,4008,"United States, Ireland, Canada",10101702
58,The Braves,Margot i Alma,The Braves,2021,6.8,300,France,14064662
70,The Most Beautiful Boy in the World,Najpiękniejszy chłopiec na świecie,The Most Beautiful Boy in the World,2021,6.8,1618,"Sweden, Germany, France",8801666
34,iHuman,iHuman,iHuman,2019,6.7,614,Norway,11279794
33,Memory Games,Igrzyska pamięci,Memory Games,2018,6.7,456,"Germany, United States, Sweden",9235070
7,Beuys,Beuys. Sztuka to rewolucja,Beuys,2017,6.7,490,Germany,6340090
77,The Proposal,Niezwykła propozycja,The Proposal,2009,6.7,334726,United States,1041829
